id,vuln_id,server_group,link,vulnerability
"129","844237aba5","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id35","179922 (1) - PostgreSQL 11.x &lt; 11.21 / 12.x &lt; 12.16 / 13.x &lt; 13.12 / 14.x &lt; 14.9 / 15.x &lt; 15.4 Multiple Vulnerabilities"
"130","218ff4d5da","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id36","185732 (1) - PostgreSQL 11.x &lt; 11.22 / 12.x &lt; 12.17 / 13.x &lt; 13.13 / 14.x &lt; 14.10 / 15.x &lt; 15.5 / 16.x &lt; 16.1 Multiple Vulnerabilities"
"131","48df699e02","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id37","190512 (1) - PostgreSQL 12.x &lt; 12.18 / 13.x &lt; 13.14 / 14.x &lt; 14.11 / 15.x &lt; 15.6 SQL Injection"
"132","4cfa09d6f4","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id38","205594 (1) - PostgreSQL 12.x &lt; 12.20 / 13.x &lt; 13.16 / 14.x &lt; 14.13 / 15.x &lt; 15.8 / 16.x 16.4 SQL Injection&lt;"
"133","5990e34496","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id39","211655 (1) - PostgreSQL 12.x &lt; 12.21 / 13.x &lt; 13.17 / 14.x &lt; 14.14 / 15.x &lt; 15.9 / 16.x &lt; 16.5 / 17.x &lt; 17.1 Multiple Vulnerabilities"
"134","69dda2e99b","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id40","216586 (1) - PostgreSQL 13.x &lt; 13.19 / 14.x &lt; 14.16 / 15.x &lt; 15.11 / 16.x &lt; 16.7 / 17.x &lt; 17.3 SQLi"
"135","297f57dbcb","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id41","234325 (1) - Microsoft Edge (Chromium) &lt; 135.0.3179.73 (CVE-2025-29834)"
"136","3884e78e8f","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id42","234582 (1) - Microsoft Edge (Chromium) &lt; 134.0.3124.129 / 135.0.3179.85 Multiple Vulnerabilities"
"137","759082099d","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id43","235616 (1) - Microsoft Edge (Chromium) &lt; 136.0.3240.64 (CVE-2025-4372)"
"138","aed8ee1829","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id44","237505 (1) - Microsoft Edge (Chromium) &lt; 137.0.3296.52 Multiple Vulnerabilities"
"139","6ef3e5b8c0","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id45","237731 (1) - Microsoft Edge (Chromium) &lt; 137.0.3296.62 Multiple Vulnerabilities"
"140","520ec599fa","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id46","238443 (1) - Microsoft Edge (Chromium) &lt; 137.0.3296.83 Multiple Vulnerabilities"
"141","acbd6eaa17","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id47","241151 (1) - Microsoft Edge (Chromium) &lt; 138.0.3351.65 Multiple Vulnerabilities"
